title,"published at",location,url
"Gift shopping ideas on a student budget","2020-11-26 12:41:00",Gravity,https://www.iconinc.co.uk/our-community/blog/gift-shopping-ideas-on-student-budget
"Rachel's top 5 things to do in Lincoln","2020-12-01 15:24:00",Gravity,https://www.iconinc.co.uk/our-community/blog/rachelstop5thingstodoinlincoln
"Amber gives us the low down on Lincoln Cathedral","2021-01-20 13:17:00",Gravity,https://www.iconinc.co.uk/our-community/blog/ambergivesusthelowdownonlincolncathedral
"Recipe: Satay sweet potato curry","2019-03-06 15:03:00",Gravity,https://www.iconinc.co.uk/our-community/blog/satay-sweet-potato-curry-recipe
"IconInc featured on BBC Breakfast","2018-12-10 11:30:00",Gravity,https://www.iconinc.co.uk/our-community/blog/iconinc-featured-on-bbc-breakfast
"7 ways that wellbeing comes first at IconInc","2019-03-18 15:26:00",Gravity,https://www.iconinc.co.uk/our-community/blog/7-ways-that-wellbeing-comes-first-at-iconinc
"Things to do in Lincoln","2019-10-14 13:05:00",Gravity,https://www.iconinc.co.uk/our-community/blog/thingstodoinlincoln
"Recipe: Shakshuka","2019-03-26 16:55:00",Gravity,https://www.iconinc.co.uk/our-community/blog/shakshuka-recipe
"Quick and easy Halloween costumes","2018-10-18 17:12:00",Gravity,https://www.iconinc.co.uk/our-community/blog/quick-and-easy-halloween-costumes
"Recipe: Chicken gyro","2019-04-10 17:42:00",Gravity,https://www.iconinc.co.uk/our-community/blog/chicken-gyro-recipe
"How To Get Involved In The IconInc Community","2018-05-14 11:53:00",Gravity,https://www.iconinc.co.uk/our-community/blog/get-involved-in-iconinc-community
"Cool things you might not know about IconInc","2019-01-18 09:24:00",Gravity,https://www.iconinc.co.uk/our-community/blog/cool-things-you-might-not-know-about-iconinc
"Content Producer? Social Butterfly? We're looking for Student Icons!","2020-09-11 13:40:00",Gravity,https://www.iconinc.co.uk/our-community/blog/studenticons
"Amber's Top Lincoln Student Outings!","2020-10-16 17:11:00",Gravity,https://www.iconinc.co.uk/our-community/blog/amberstopstudentlincolnoutings
"Humans of Iconinc: Rachel, our Gravity Team Manager","2020-10-29 16:38:00",Gravity,https://www.iconinc.co.uk/portal/13/apartments/830
"Staying Healthy in Lockdown","2020-11-06 10:35:00",Gravity,https://www.iconinc.co.uk/our-community/blog/stayinghealthyinlockdown
"Ever wondered why our latest location is named Gravity?","2020-11-17 12:58:00",Gravity,https://www.iconinc.co.uk/our-community/blog/gravity-isaacnewton
"Catching up with Chris Hale","2019-02-28 11:37:00",Gravity,https://www.iconinc.co.uk/our-community/blog/catching-up-with-chris-hale
"Recipe: Posh pot noodle","2019-05-24 09:25:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/posh-pot-noodle-recipe
"IconInc ""The Ascent"" Liverpool & Why it’s in the perfect location","2016-11-07 09:50:33","The Ascent",https://www.iconinc.co.uk/our-community/blog/iconinc-the-ascent-liverpool-why-its-in-the-perfect-location
"How to celebrate Christmas at IconInc","2018-11-26 12:49:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/how-to-celebrate-christmas-at-iconinc
"What’s on in March","2019-03-01 09:46:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/whats-on-march
"Area guide: The Ascent","2019-05-29 12:17:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/area-guide-the-ascent
"Take your taste buds around the world in the mega kitchen","2018-11-29 16:08:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/cooking-world-cuisine-in-the-mega-kitchen-elena
"What's it like to travel to the UK to study during a pandemic? ","2020-12-02 09:51:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/international-study-pandemic-experience
"A Guide To Getting Ready For Festival Season","2018-06-13 14:27:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/guide-getting-ready-festival-season
"Why Olivia chose cheerleading society","2018-12-03 16:27:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/why-olivia-chose-cheerleading-society
"Humans of IconInc: Lucy, our Ascent Team Manager","2020-12-14 12:43:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/humansoficoninc-lucy
"3 Easy To Make Home-Made Pizzas","2018-02-07 13:41:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/easy-to-make-home-made-pizzas
"Humans of IconInc: Stevie, our Community and Events Manager","2019-06-12 16:13:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/humans-of-iconinc-stevie
"Socializing with other students at IconInc ""The Ascent"" Liverpool","2016-12-05 10:48:14","The Ascent",https://www.iconinc.co.uk/our-community/blog/socializing-with-other-students-at-iconinc-the-ascent-liverpool
"Epic Day Trips From Liverpool","2018-06-28 09:13:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/day-trips-from-liverpool
"Recipe: Satay sweet potato curry","2019-03-06 15:03:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/satay-sweet-potato-curry-recipe
"A Guide To UK Regional Accents","2016-04-04 11:30:31","The Ascent",https://www.iconinc.co.uk/our-community/blog/a-guide-to-uk-regional-accents
"Here's What Happened At IconInc's Super Bowl Sunday Event","2018-02-07 09:17:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/superbowl-sunday-event
"6 Things To Do In Liverpool This Summer","2018-08-07 08:55:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/117
"How to revise for your exams: 4 proven techniques","2018-12-06 15:20:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/how-to-revise-for-exams-4-techniques
"Elena’s top 10 Instagrammable places in Liverpool","2019-03-13 14:47:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/elenas-top-10-instagrammable-places-liverpool
"Socializing with other students at IconInc ""The Ascent"" Liverpool","2016-12-05 10:48:14","The Ascent",https://www.iconinc.co.uk/our-community/blog/socializing-with-other-students-at-iconinc-the-ascent-liverpool
"Why The UK Is The Best Place For International Students To Study","2017-10-30 10:26:40","The Ascent",https://www.iconinc.co.uk/our-community/blog/why-the-uk-is-the-best-place-for-international-students-to-study
"Why Elena starts her day with exercise","2018-10-31 16:18:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/why-elena-starts-her-day-with-exercise
"Top cities to visit near Leeds","2016-04-06 11:52:26","The Ascent",https://www.iconinc.co.uk/our-community/blog/top-cities-to-visit-near-leeds
"Celebrating Chinese New Year At Home And At IconInc","2018-02-20 12:41:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/celebrating-chinese-new-year-at-iconinc
"IconInc featured on BBC Breakfast","2018-12-10 11:30:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/iconinc-featured-on-bbc-breakfast
"The Benefits Of All Inclusive Luxury Student Living At IconInc","2017-08-17 11:19:09","The Ascent",https://www.iconinc.co.uk/our-community/blog/the-benefits-of-all-inclusive-luxury-student-living-at-iconinc
"7 ways that wellbeing comes first at IconInc","2019-03-18 15:26:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/7-ways-that-wellbeing-comes-first-at-iconinc
"The best bars & pubs in Liverpool near IconInc ""The Ascent""","2016-09-05 10:59:05","The Ascent",https://www.iconinc.co.uk/our-community/blog/the-best-bars-pubs-in-liverpool-near-iconinc-the-ascent
"All about Bonfire Night and where to celebrate","2018-10-29 09:18:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/bonfire-night-and-where-to-celebrate
"Recipe: Vegan ramen","2019-08-05 10:54:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/vegan-ramen-recipe
"The best bars & pubs in Liverpool near IconInc ""The Ascent""","2016-09-05 10:59:05","The Ascent",https://www.iconinc.co.uk/our-community/blog/the-best-bars-pubs-in-liverpool-near-iconinc-the-ascent
"Inspiring Women On International Women's Day","2018-03-07 15:07:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/inspiring-women-international-womens-day
"Three simple stretches to get rid of exam revision aches","2018-12-19 08:41:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/three-stretches-for-exam-revision-aches
"The Benefits Of All Inclusive Luxury Student Living At IconInc","2017-08-17 11:19:09","The Ascent",https://www.iconinc.co.uk/our-community/blog/the-benefits-of-all-inclusive-luxury-student-living-at-iconinc
"The best indie films of 2018","2018-11-06 19:27:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/best-indie-films-2018
"Tips to make new friends at IconInc","2018-12-20 14:25:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/tips-to-make-new-friends-at-iconinc
"Recipe: Shakshuka","2019-03-26 16:55:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/shakshuka-recipe
"Things To Do This August Bank Holiday Weekend In Liverpool","2017-08-21 08:38:16","The Ascent",https://www.iconinc.co.uk/our-community/blog/things-to-do-this-august-bank-holiday-weekend-in-liverpool
"Top 3 New Year’s Resolutions That IconInc Will Help You Keep","2017-11-20 11:07:17","The Ascent",https://www.iconinc.co.uk/our-community/blog/top-3-new-years-resolutions-that-iconinc-will-help-you-keep
"Here's How To Successfully Finish The University Year","2018-05-09 09:47:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/successfully-finish-the-university-year
"London to Leeds – Burger Bars","2015-02-11 14:48:18","The Ascent",https://www.iconinc.co.uk/our-community/blog/london-to-leeds-burger-bars
"What is it Like To Live in Leeds","2015-12-29 09:25:43","The Ascent",https://www.iconinc.co.uk/our-community/blog/what-is-it-like-to-live-in-leeds
"The best places to eat in Liverpool near IconInc ""The Ascent""","2016-09-09 13:20:26","The Ascent",https://www.iconinc.co.uk/our-community/blog/the-best-places-to-eat-in-liverpool-near-iconinc-the-ascent
"Things To Do This August Bank Holiday Weekend In Liverpool","2017-08-21 08:38:16","The Ascent",https://www.iconinc.co.uk/our-community/blog/things-to-do-this-august-bank-holiday-weekend-in-liverpool
"The best places to eat in Liverpool near IconInc ""The Ascent""","2016-09-09 13:20:26","The Ascent",https://www.iconinc.co.uk/our-community/blog/the-best-places-to-eat-in-liverpool-near-iconinc-the-ascent
"An International Student Checklist: Let Us Take Care Of Your Student Accommodation","2017-11-30 14:09:17","The Ascent",https://www.iconinc.co.uk/our-community/blog/an-international-student-checklist-let-us-take-care-of-your-student-accommodation
"Everything you need to know about IconInc ""The Ascent"" in Liverpool","2016-10-25 11:39:50","The Ascent",https://www.iconinc.co.uk/our-community/blog/everything-you-need-to-know-about-iconinc-the-ascent-in-liverpool
"Quick and easy Halloween costumes","2018-10-18 17:12:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/quick-and-easy-halloween-costumes
"Finding Your Way Around Leeds","2016-01-04 10:25:02","The Ascent",https://www.iconinc.co.uk/our-community/blog/finding-your-way-around-leeds
"Recipe: Chicken gyro","2019-04-10 17:42:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/chicken-gyro-recipe
"Cool things you might not know about IconInc","2019-01-18 09:24:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/cool-things-you-might-not-know-about-iconinc
"LIVERPOOL, WE’RE COMING FOR YOU!","2016-06-03 11:19:57","The Ascent",https://www.iconinc.co.uk/our-community/blog/liverpool-were-coming-for-you
"Content Producer? Social Butterfly? We're looking for Student Icons!","2020-09-11 13:40:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/studenticons
"What You See Is What You Get At IconInc","2017-12-05 10:53:11","The Ascent",https://www.iconinc.co.uk/our-community/blog/what-you-see-is-what-you-get-at-iconinc
"International supermarkets in Liverpool","2018-10-15 10:29:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/international-supermarkets-in-liverpool
"Everything you need to know about IconInc ""The Ascent"" in Liverpool","2016-10-25 11:39:50","The Ascent",https://www.iconinc.co.uk/our-community/blog/everything-you-need-to-know-about-iconinc-the-ascent-in-liverpool
"6 Benefits Of Having a 24 Hour Concierge","2017-09-05 13:09:49","The Ascent",https://www.iconinc.co.uk/our-community/blog/6-benefits-of-having-a-24-hour-concierge
"How To Get Involved In The IconInc Community","2018-05-14 11:53:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/get-involved-in-iconinc-community
"Finding my feet as a fresher","2018-10-08 10:52:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/finding-my-feet-as-a-fresher-olly
"LIVERPOOL, WE’RE COMING FOR YOU!","2016-06-03 11:19:57","The Ascent",https://www.iconinc.co.uk/our-community/blog/liverpool-were-coming-for-you
"Elena’s banana berry pancake recipe","2018-10-01 14:57:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/elenas-banana-berry-pancake-recipe
"How’s your New Year’s resolution going?","2019-01-24 16:46:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/ambassadors-new-years-resolutions
"A bodyweight circuit training workout for beginners","2019-04-16 12:13:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/bodyweight-circuit-training-workout-for-beginners
"A healthy eats cookery class with Chris Hale","2019-01-31 09:41:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/chris-hale-cookery-class-1
"What You See Is What You Get At IconInc","2017-12-05 10:53:11","The Ascent",https://www.iconinc.co.uk/our-community/blog/what-you-see-is-what-you-get-at-iconinc
"Recipe: Okonomiyaki","2019-05-07 14:12:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/okonomiyaki-recipe
"Celebrating The Royal Wedding At IconInc's Summer Party","2018-05-29 10:11:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/royal-wedding-at-iconinc
"Gearing up for Welcome Week","2018-09-19 15:19:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/gearing-up-for-welcome-week
"Humans of IconInc: Pete our 24 hour concierge","2019-05-14 12:07:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/humans-of-iconinc-pete
"5 Reasons To Love Liverpool","2017-09-11 08:00:24","The Ascent",https://www.iconinc.co.uk/our-community/blog/5-reasons-to-love-liverpool
"The Perks Of Living At IconInc","2018-01-29 14:23:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/the-perks-of-living-at-iconinc
"Catching up with Chris Hale","2019-02-28 11:37:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/catching-up-with-chris-hale
"Fiona’s placement at the Family Court Project","2019-05-16 14:54:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/fionas-placement-at-the-family-court-project
"IconInc ""The Ascent"" Liverpool & Why it’s in the perfect location","2016-11-07 09:50:33","The Ascent",https://www.iconinc.co.uk/our-community/blog/iconinc-the-ascent-liverpool-why-its-in-the-perfect-location
"IconInc Extras That Will Make Your Stay Even More Luxurious","2017-09-13 07:16:15","The Ascent",https://www.iconinc.co.uk/our-community/blog/iconinc-extras-that-will-make-your-stay-even-more-luxurious
"How To Hold A World Cup Party At IconInc","2018-05-30 10:06:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/world-cup-party-at-iconinc
"Things to do this Christmas in Leeds and Liverpool","2018-11-14 14:59:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/things-to-do-this-christmas
"Gift shopping ideas on a student budget","2020-11-26 12:41:00","The Ascent",https://www.iconinc.co.uk/our-community/blog/gift-shopping-ideas-on-student-budget
"The Essential Guide To Liverpool","2017-09-18 10:29:39","The Ascent",https://www.iconinc.co.uk/our-community/blog/the-essential-guide-to-liverpool
"How to celebrate Christmas at IconInc","2018-11-26 12:49:00","The Edge",https://www.iconinc.co.uk/our-community/blog/how-to-celebrate-christmas-at-iconinc
"What’s on in March","2019-03-01 09:46:00","The Edge",https://www.iconinc.co.uk/our-community/blog/whats-on-march
"What to Wear on a Night out in Leeds","2016-08-07 12:05:40","The Edge",https://www.iconinc.co.uk/our-community/blog/what-to-wear-on-a-night-out-in-leeds
"The Essential Guide To Liverpool","2017-09-18 10:29:39","The Edge",https://www.iconinc.co.uk/our-community/blog/the-essential-guide-to-liverpool
"Meet Mido And Find Out What He Thinks Of IconInc And Life In Leeds","2018-01-31 16:23:00","The Edge",https://www.iconinc.co.uk/our-community/blog/meet-mido-iconinc-ambassador
"Happiness on a fork ...or a chop stick!","2015-09-24 10:09:45","The Edge",https://www.iconinc.co.uk/our-community/blog/happiness-on-a-fork-or-a-chop-stick
"Evening entertainment in Leeds that don’t involve clubbing","2016-03-11 11:55:50","The Edge",https://www.iconinc.co.uk/our-community/blog/evening-entertainment-in-leeds-that-dont-involve-clubbing
"IconInc ""The Ascent"" Liverpool & Why it’s in the perfect location","2016-11-07 09:50:33","The Edge",https://www.iconinc.co.uk/our-community/blog/iconinc-the-ascent-liverpool-why-its-in-the-perfect-location
"A Guide To Getting Ready For Festival Season","2018-06-13 14:27:00","The Edge",https://www.iconinc.co.uk/our-community/blog/guide-getting-ready-festival-season
"Welcome to your new home!","2015-09-24 10:18:07","The Edge",https://www.iconinc.co.uk/our-community/blog/welcome-to-your-new-home
"What to Expect on a Night out in Leeds","2016-08-11 12:06:38","The Edge",https://www.iconinc.co.uk/our-community/blog/what-to-expect-on-a-night-out-in-leeds
"5 Highlights From IconInc's Welcome Day","2017-10-06 08:51:51","The Edge",https://www.iconinc.co.uk/our-community/blog/5-highlights-from-iconincs-welcome-day
"3 Easy To Make Home-Made Pizzas","2018-02-07 13:41:00","The Edge",https://www.iconinc.co.uk/our-community/blog/easy-to-make-home-made-pizzas
"A Leeds Bucket List For Your Student Life","2018-07-24 08:40:00","The Edge",https://www.iconinc.co.uk/our-community/blog/leeds-bucket-list-students
"The ultimate student routine that you need to adopt now","2015-10-09 09:51:54","The Edge",https://www.iconinc.co.uk/our-community/blog/the-ultimate-student-routine-that-you-need-to-adopt-now
"The best pubs and bars in Leeds for students to socialise","2016-03-15 11:34:41","The Edge",https://www.iconinc.co.uk/our-community/blog/the-best-pubs-and-bars-in-leeds-for-students-to-socialise
"Humans of IconInc: Stevie, our Community and Events Manager","2019-06-12 16:13:00","The Edge",https://www.iconinc.co.uk/our-community/blog/humans-of-iconinc-stevie
"Leeds Cultural Experiences","2016-11-29 11:13:04","The Edge",https://www.iconinc.co.uk/our-community/blog/leeds-cultural-experiences
"Recipe: Satay sweet potato curry","2019-03-06 15:03:00","The Edge",https://www.iconinc.co.uk/our-community/blog/satay-sweet-potato-curry-recipe
